k,th,sig,Price_Exact,Price_Euler,Time_Euler,Price_Alm1000,Time_Alm1000,Price_Alm30,Time_Alm30,Err_Euler,Err_Alm1000,Err_Alm30
3.807947176588889,0.4758500101408589,0.7587945476302645,0.229617,0.236175,16.367,0.22917,2566.822,0.242465,30.056,0.006558000000000008,0.0004469999999999752,0.012848000000000026
6.026718993550662,0.0864491338167939,0.2403950683025824,0.111416,0.11762,16.384,0.111305,3293.169,0.115511,73.622,0.006204000000000001,0.00011099999999999999,0.004095000000000001
0.6750277604651747,0.4344263114297182,0.6410035105688879,0.159073,0.16136,16.368,0.158816,2655.345,0.160882,28.766,0.0022870000000000112,0.00025699999999997947,0.001809000000000005
7.10991852018085,0.020086402204943198,0.9729188669457949,0.065292,0.067359,18.115,0.065023,1872.921,0.063371,4.473,0.0020669999999999994,0.00026900000000000535,0.001921000000000006
8.341182143924176,0.11404616423235531,0.26364247048639056,0.125039,0.132478,16.385,0.12516,3294.59,0.134667,74.671,0.007439000000000001,0.00012099999999998223,0.009627999999999998
1.915704647548995,0.1590786990501735,0.5722807884690141,0.136191,0.137805,16.376,0.136188,2556.29,0.138046,18.19,0.0016140000000000043,3.0000000000030003e-06,0.0018549999999999955
4.376255684556946,0.15270227869704053,0.6506676052501416,0.143991,0.144821,16.377,0.143635,2542.828,0.14495,8.124,0.0008299999999999974,0.0003559999999999952,0.0009589999999999876
1.4809892204552142,0.1531508777822569,0.4297256589643226,0.132782,0.135299,16.368,0.132156,2700.032,0.135628,40.227,0.0025169999999999915,0.0006260000000000154,0.0028459999999999874
4.615092843748656,0.39473622108257667,0.2797064039425238,0.224059,0.225183,16.359,0.224655,1164.805,0.248717,76.091,0.0011239999999999861,0.0005959999999999854,0.024657999999999985
5.190920940294755,0.3002831387424008,0.14180537144799796,0.20065,0.201407,16.361,0.202545,561.126,0.239499,76.173,0.0007570000000000077,0.0018950000000000078,0.038848999999999995
6.1146940338242395,0.09355682060677284,0.1585464336867516,0.121848,0.121765,16.366,0.121723,889.31,0.119872,76.121,8.299999999999974e-05,0.0001250000000000001,0.0019759999999999917
9.493966818808,0.4831596962065341,0.827557613304815,0.249106,0.257892,16.381,0.249655,2546.065,0.281332,9.606,0.008786000000000016,0.0005489999999999939,0.03222600000000003
3.11567631481637,0.057859335863128095,0.7158097238609412,0.098427,0.098524,16.659,0.09817,2394.227,0.09733,6.987,9.699999999999986e-05,0.0002570000000000072,0.0010970000000000008
4.457509688022053,0.06979873507394162,0.5456592191001431,0.1063,0.106702,16.369,0.106003,2532.615,0.105334,7.321,0.0004019999999999996,0.0002970000000000056,0.0009660000000000085
0.4404463590406621,0.4555669970186032,0.3329019834400152,0.152099,0.157316,16.362,0.151925,3179.25,0.156869,67.079,0.005216999999999999,0.00017400000000000748,0.0047699999999999965
